Location,Year,NS,NSSE,BO,BOSE,P
Papey,2010,0,0,0.754385965,0.057014584,0
Papey,2011,0,0,0.596153846,0.068043317,0
Papey,2012,0.833333333,0.068041382,0.684210526,0.061568174,0.570175439
Papey,2013,0.793103448,0.075221596,0.828571429,0.063704859,0.657142857
Papey,2014,0.514285714,0.084480922,0.685714286,0.078469321,0.352653061
Papey,2015,0.821428571,0.072378882,1,0,0.821428571
Papey,2016,0.517241379,0.065614172,0.779220779,0.047267649,0.403045231
Papey,2017,0.688888889,0.069012235,0.661538462,0.058691544,0.455726496
Papey,2018,0.684210526,0.075405305,0.629032258,0.061349169,0.430390492
Papey,2019,0.872340426,0.04867666,0.736842105,0.058325436,0.642777156
Papey,2020,0.756097561,0.06706641,0.739130435,0.052862501,0.558854719
Papey,2021,0.733333333,0.057089923,0.70212766,0.066707429,0.514893617
Papey,2022,0.787234043,0.059697216,0.8,0.051639778,0.629787234
Papey,2023,0.482352941,0.054198826,0.685393258,0.049221962,0.330601454
Papey,2024,0.738095238,0.047972048,0.851485149,0.035384478,0.628477133
Hholmi,2010,,,0.551724138,0.092349526,
Hholmi,2011,0.791666667,0.082898169,0.642857143,0.090552242,0.508928571
Hholmi,2012,0.782608696,0.086006149,0.518518519,0.096159024,0.405797101
Hholmi,2013,1,0,0.8,0.063245553,0.8
Hholmi,2014,0.852941176,0.060738719,0.772727273,0.06317721,0.659090909
Hholmi,2015,0.725,0.070600106,0.85,0.056457949,0.61625
Hholmi,2016,0.853658537,0.055199337,0.767857143,0.056418802,0.655487805
Hholmi,2017,0.628571429,0.081673459,0.74,0.06203225,0.465142857
Hholmi,2018,0.615384615,0.077903028,0.82,0.054332311,0.504615385
Hholmi,2019,0.931034483,0.047054361,0.857142857,0.053994925,0.798029557
Hholmi,2020,0.875,0.067507716,0.84,0.051845926,0.735
Hholmi,2021,0.840909091,0.055140521,0.782608696,0.060815531,0.658102767
Hholmi,2022,0.92,0.038366652,0.946428571,0.030089607,0.870714286
Hholmi,2023,0.795454545,0.060810176,0.923076923,0.036952651,0.734265734
Hholmi,2024,0.769230769,0.067466001,0.79245283,0.055706668,0.6095791
Drangey,2010,,,0.727272727,0.067140813,
Drangey,2011,0.769230769,0.067466001,0.796296296,0.054807492,0.612535613
Drangey,2012,0.7,0.072456884,0.759259259,0.058179899,0.531481481
Drangey,2013,0.923076923,0.042669246,0.888888889,0.046848558,0.820512821
Drangey,2014,0.828571429,0.063704859,0.909090909,0.043339209,0.753246753
Drangey,2015,0.875,0.058463397,0.813953488,0.059343934,0.712209302
Drangey,2016,0.926829268,0.040670231,0.872340426,0.04867666,0.808510638
Drangey,2017,0.909090909,0.086678417,0.782608696,0.060815531,0.711462451
Drangey,2018,,,,,
Drangey,2019,0.9,0.047434165,0.886363636,0.047845191,0.797727273
Drangey,2020,0.735294118,0.075661141,0.872340426,0.04867666,0.641426783
Drangey,2021,,,,,
Drangey,2022,0.86,0.049071377,0.84375,0.045386524,0.725625
Drangey,2023,0.842105263,0.048298049,0.951612903,0.027252045,0.801358234
Drangey,2024,,,,,
G_Stgrf,2010,,,0.771428571,0.070978172,
G_Stgrf,2011,0.913043478,0.041544917,0.769230769,0.058427271,0.702341137
G_Stgrf,2012,0.708333333,0.092780481,0.673913043,0.069117772,0.477355072
G_Stgrf,2013,0.866666667,0.062063289,0.696969697,0.080000557,0.604040404
G_Stgrf,2014,0.942857143,0.039234661,0.842105263,0.059152788,0.793984962
G_Stgrf,2015,0.724137931,0.082996092,0.852941176,0.060738719,0.617647059
G_Stgrf,2016,0.735294118,0.075661141,0.945945946,0.037174611,0.69554849
G_Stgrf,2017,0.6,0.077459667,0.909090909,0.043339209,0.545454545
G_Stgrf,2018,0.92,0.05425864,0.869565217,0.049655673,0.8
G_Stgrf,2019,0.813953488,0.059343934,0.862745098,0.048185913,0.702234382
G_Stgrf,2020,0.884615385,0.062656268,0.796296296,0.054807492,0.704415954
G_Stgrf,2021,1,0,0.807692308,0.054653708,0.807692308
G_Stgrf,2022,0.933333333,0.032203059,0.867647059,0.041094518,0.809803922
G_Stgrf,2023,0.711864407,0.058961848,0.835820896,0.045256207,0.594991146
G_Stgrf,2024,,,,,
Grimsey,2010,,,0.769230769,0.05225894,
Grimsey,2011,0.904761905,0.045294749,0.703125,0.057110123,0.636160714
Grimsey,2012,0.818181818,0.067140813,0.770833333,0.060664601,0.630681818
Grimsey,2013,1,0,0.928571429,0.048670367,0.928571429
Grimsey,2014,0.571428571,0.066130007,0.84,0.051845926,0.48
Grimsey,2015,0.838709677,0.066058565,0.808510638,0.05739397,0.678105697
Grimsey,2016,0.782608696,0.060815531,0.853333333,0.040850223,0.667826087
Grimsey,2017,0.8,0.063245553,0.736842105,0.058325436,0.589473684
Grimsey,2018,0.754098361,0.055135306,0.827586207,0.049599652,0.624081402
Grimsey,2019,0.795454545,0.060810176,0.886792453,0.043522191,0.705403087
Grimsey,2020,0.74,0.06203225,0.882352941,0.045115588,0.652941176
Grimsey,2021,0.982758621,0.0170921,0.787037037,0.039394695,0.773467433
Grimsey,2022,0.698113208,0.044589443,0.871212121,0.029154962,0.608204688
Grimsey,2023,0.788990826,0.039081696,0.857142857,0.031173984,0.676277851
Grimsey,2024,,,,,
Lundey,2010,,,0.743589744,0.069920108,
Lundey,2011,0.631578947,0.078251783,0.783783784,0.067677048,0.495021337
Lundey,2012,0.826086957,0.079034196,0.8,0.06761234,0.660869565
Lundey,2013,0.785714286,0.077544307,0.689655172,0.085909117,0.541871921
Lundey,2014,0.892857143,0.058451221,0.705882353,0.07814249,0.630252101
Lundey,2015,0.580645161,0.088626865,0.815789474,0.062886072,0.473684211
Lundey,2016,0.846153846,0.057774432,0.904761905,0.045294749,0.765567766
Lundey,2017,0.921052632,0.043744077,0.829787234,0.054818924,0.764277716
Lundey,2018,0.763157895,0.06896756,0.847826087,0.052959585,0.647025172
Lundey,2019,0.842105263,0.059152788,0.780487805,0.064642845,0.657252888
Lundey,2020,0.857142857,0.059148477,0.893617021,0.044974139,0.765957447
Lundey,2021,0.794117647,0.049034023,0.85,0.056457949,0.675
Lundey,2022,0.885245902,0.040808548,0.878378378,0.037995342,0.77758086
Lundey,2023,0.857142857,0.041824289,0.918918919,0.031730908,0.787644788
Lundey,2024,,,,,
Vigur,2010,0.658536585,0.074057682,0.8,0.051639778,0.526829268
Vigur,2011,0.6875,0.081938191,0.825,0.060078074,0.5671875
Vigur,2012,0.631578947,0.110664733,0.666666667,0.070272837,0.421052632
Vigur,2013,1,0,0.818181818,0.067140813,0.818181818
Vigur,2014,0.852941176,0.060738719,0.857142857,0.053994925,0.731092437
Vigur,2015,0.888888889,0.05237828,0.880952381,0.049970297,0.783068783
Vigur,2016,0.777777778,0.069289952,0.9,0.047434165,0.7
Vigur,2017,0.8125,0.068998132,0.868421053,0.054836102,0.705592105
Vigur,2018,0.5,0.11785113,0.8,0.06761234,0.4
Vigur,2019,0.95,0.034460122,0.878787879,0.056814356,0.834848485
Vigur,2020,,,0.829787234,0.054818924,
Vigur,2021,0.96,0.027712813,0.857142857,0.059148477,0.822857143
Vigur,2022,0.887096774,0.040192297,0.837837838,0.042848822,0.743243243
Vigur,2023,0.75,0.055901699,0.779661017,0.053960079,0.584745763
Vigur,2024,,,,,
Akurey,2010,0,0,0.485714286,0.084480922,0
Akurey,2011,0,0,0.029411765,0.028976011,0
Akurey,2012,0.095238095,0.064056448,0.135135135,0.039741331,0.012870013
Akurey,2013,0.75,0.108253175,0.386363636,0.073405285,0.289772727
Akurey,2014,0.545454545,0.150131423,0.428571429,0.083648578,0.233766234
Akurey,2015,0.857142857,0.076360355,0.666666667,0.07856742,0.571428571
Akurey,2016,0.84375,0.064186237,0.829268293,0.058764182,0.699695122
Akurey,2017,0.916666667,0.046064233,0.782608696,0.060815531,0.717391304
Akurey,2018,0.741935484,0.078589834,0.729166667,0.064142199,0.540994624
Akurey,2019,0.846153846,0.057774432,0.880952381,0.049970297,0.745421245
Akurey,2020,0.833333333,0.062112999,0.895833333,0.044091754,0.746527778
Akurey,2021,0.870967742,0.042574969,0.78,0.058583274,0.679354839
Akurey,2022,0.861538462,0.042839583,0.907894737,0.033170589,0.782186235
Akurey,2023,0.924528302,0.036283923,0.826666667,0.043709479,0.76427673
Akurey,2024,0.775510204,0.059606555,0.805555556,0.046642226,0.624716553
Dyrhol,2012,0.263157895,0.101022618,0.6,0.077459667,0.157894737
Dyrhol,2013,0.363636364,0.102559286,0.658536585,0.074057682,0.239467849
Dyrhol,2014,0,0,0.488372093,0.076228663,0
Dyrhol,2015,0.304347826,0.095943876,0.605263158,0.079292873,0.184210526
Dyrhol,2016,0.125,0.067507716,0.621621622,0.079730658,0.077702703
Dyrhol,2017,0.909090909,0.086678417,0.782608696,0.060815531,0.711462451
Dyrhol,2018,0.388888889,0.114904386,0.571428571,0.083648578,0.222222222
Dyrhol,2019,0.857142857,0.059148477,0.583333333,0.100634561,0.5
Dyrhol,2020,0.8125,0.068998132,0.74,0.06203225,0.60125
Dyrhol,2021,0.771428571,0.070978172,0.75,0.0625,0.578571429
Dyrhol,2022,0.296296296,0.087877187,0.688888889,0.069012235,0.204115226
Dyrhol,2023,0,0,0.230769231,0.067466001,0
Dyrhol,2024,,,,,
Elli?aey,2010,0.363636364,0.083739307,0.76744186,0.064424979,0.279069767
Elli?aey,2011,0,0,0.333333333,0.075485136,0
Elli?aey,2012,0.181818182,0.1162913,0.314285714,0.078469321,0.057142857
Elli?aey,2013,0.173913043,0.079034196,0.564102564,0.079403362,0.098104794
Elli?aey,2014,0.529411765,0.121057825,0.527777778,0.083204633,0.279411765
Elli?aey,2015,0.894736842,0.0704059,0.735294118,0.075661141,0.657894737
Elli?aey,2016,0.882352941,0.055255085,0.825,0.060078074,0.727941176
Elli?aey,2017,0.696969697,0.080000557,0.804878049,0.061890812,0.56097561
Elli?aey,2018,0.428571429,0.093521953,0.707317073,0.07105814,0.303135889
Elli?aey,2019,0.647058824,0.081956535,0.833333333,0.062112999,0.539215686
Elli?aey,2020,,,0.553191489,0.072518621,0
Elli?aey,2021,1,0,0.666666667,0.072739297,0.666666667
Elli?aey,2022,,,,,
Elli?aey,2023,0.62962963,0.092934895,0.555555556,0.067620069,0.349794239
Elli?aey,2024,,,,,
Eyjar,2007,0.363636364,0.054820244,0.604316547,0.041476184,0.219751472
Eyjar,2008,0.217821782,0.029042087,0.706382979,0.029708231,0.153865599
Eyjar,2009,0.25,0.037130533,0.50212766,0.032616108,0.125531915
Eyjar,2010,0,0,0.724696356,0.02842075,0
Eyjar,2011,0,0,0.20661157,0.036806758,0
Eyjar,2012,0.373493976,0.053096437,0.494897959,0.035712426,0.184841406
Eyjar,2013,0.050632911,0.024667208,0.527950311,0.039343903,0.026731661
Eyjar,2014,0.043478261,0.030068003,0.375,0.040343577,0.016304348
